,all,fisher,relief,spec,f,chi2_nor,RFS,mrmr,cmim,jmi,borutashap,rf,lasso_svm,lasso_lg,lg,svc,rfs,cfs,chi2,shap
1600,1.0,0.1590909090909091,0.1590909090909091,0.3409090909090909,0.1590909090909091,0.1590909090909091,0.6136363636363636,0.5909090909090909,0.25,0.2727272727272727,0.4090909090909091,0.3409090909090909,0.6136363636363636,0.9090909090909091,0.9545454545454546,0.9545454545454546,0.9318181818181818,0.20454545454545456,0.1590909090909091,
311,1.0,0.04081632653061224,0.20408163265306123,0.5510204081632653,0.14285714285714285,0.08163265306122448,0.02040816326530612,0.02040816326530612,0.7551020408163265,0.02040816326530612,0.04081632653061224,0.04081632653061224,0.12244897959183673,0.4897959183673469,0.6122448979591837,0.6122448979591837,0.24489795918367346,0.12244897959183673,,
40,1.0,0.4,0.18333333333333332,0.48333333333333334,0.4,0.05,0.1,0.35,0.13333333333333333,0.38333333333333336,0.6,0.2833333333333333,0.1,0.05,0.8333333333333334,,0.9833333333333333,0.1,,
40900,1.0,0.027777777777777776,0.6944444444444444,0.9166666666666666,0.027777777777777776,0.1111111111111111,0.25,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.9722222222222222,0.3888888888888889,0.027777777777777776,
40994,1.0,0.2222222222222222,0.2777777777777778,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.9444444444444444,0.9444444444444444,0.16666666666666666,0.3888888888888889,0.2222222222222222,
41146,1.0,0.25,0.2,0.8,0.25,0.2,0.8,0.8,0.8,0.8,0.25,0.2,0.85,0.45,0.45,0.5,0.8,0.3,,
41156,1.0,0.5416666666666666,0.6041666666666666,,0.4583333333333333,0.8333333333333334,0.9375,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.5,0.4791666666666667,,0.8333333333333334,0.625,0.3333333333333333,0.3958333333333333,0.20833333333333334,,
41730,1.0,,,0.5,,,0.4,,0.2,0.2,0.5,0.4,0.5,0.5,0.9,,,0.6,,
41872,1.0,0.4,0.1,,0.4,0.3,0.7,0.3,0.5,0.6,0.3,0.3,0.1,0.1,0.1,0.1,0.3,0.6,,
41897,1.0,0.9,0.8,0.9,0.9,0.9,0.1,0.5,0.3,0.3,0.1,0.1,0.9,0.1,0.4,0.4,0.1,0.6,,
41945,1.0,0.4,0.3,0.3,0.4,0.5,0.6,0.1,0.1,0.1,0.5,0.3,0.6,0.1,0.7,0.7,0.4,0.6,,
41946,1.0,0.9655172413793104,0.3103448275862069,0.8620689655172413,0.9310344827586207,0.8620689655172413,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.3103448275862069,0.3103448275862069,0.9655172413793104,0.9655172413793104,0.8620689655172413,0.8620689655172413,0.9655172413793104,0.20689655172413793,,
41978,1.0,0.2,0.4125,0.7375,0.2,0.5125,0.6,0.2375,0.4,0.5,0.6,0.975,0.475,0.825,0.65,0.2875,0.5125,0.1125,,
