,,,all,fisher,relief,spec,f,chi2_nor,RFS,mrmr,cmim,jmi,borutashap,rf,lasso_svm,lasso_lg
en,Kendall rank correlation coefficient,41945,0.9999999999999999,0.6666666666666669,1.0,0.33333333333333337,0.6666666666666669,0.9999999999999999,0.2,,,,0.9999999999999999,1.0,0.2,
en,Kendall rank correlation coefficient,41946,0.9999999999999998,0.9365079365079365,0.7222222222222222,0.5399999999999999,0.9715099715099716,0.3866666666666666,0.9153439153439152,0.582010582010582,0.582010582010582,0.582010582010582,0.7222222222222222,0.3888888888888889,0.9153439153439152,0.9153439153439152
en,Kendall rank correlation coefficient,41978,0.9999999999999999,0.2333333333333333,0.022727272727272728,-0.17942723553477496,0.2333333333333333,-0.12926829268292683,-0.0053191489361702135,-0.28654970760233917,-0.11290322580645162,0.14871794871794874,-0.024822695035460994,0.09090909090909091,-0.08961593172119488,0.06946386946386945
en,Kendall rank correlation coefficient,44,1.0,0.406060606060606,0.2822822822822823,-0.02865761689291101,0.406060606060606,0.5033816425120773,0.008695652173913045,0.3285714285714286,0.3285714285714286,0.3285714285714286,0.7543859649122807,0.7543859649122807,0.3373737373737374,0.060283687943262415
en,Kendall rank correlation coefficient,53,0.9999999999999998,0.24444444444444444,0.7575757575757575,,0.24444444444444444,0.6428571428571428,0.4666666666666666,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.7575757575757575,0.7575757575757575,0.4285714285714286,0.4285714285714286
en,Kendall rank correlation coefficient,59,1.0,0.24183006535947715,0.15384615384615383,-0.06666666666666667,0.14461538461538462,0.14461538461538462,0.39999999999999997,0.27485380116959063,0.23976608187134502,0.07602339181286549,0.0,-0.07142857142857142,-0.01904761904761905,0.2
en,Kendall rank correlation coefficient,715,0.9999999999999998,0.14285714285714288,0.9999999999999999,,0.14285714285714288,1.0,0.4571428571428572,0.05555555555555555,1.0,1.0,1.0,1.0,0.5064935064935064,
en,Kendall rank correlation coefficient,716,1.0,0.0,1.0,0.21568627450980396,0.0,0.0,1.0,1.0,1.0,1.0,0.33333333333333337,0.8888888888888888,0.7999999999999999,0.24786324786324793
en,Kendall rank correlation coefficient,717,0.9999999999999999,-0.05555555555555555,1.0,1.0,-0.05555555555555555,-0.05555555555555555,0.4444444444444444,0.39999999999999997,0.0,0.33333333333333337,-0.23809523809523814,1.0,0.14285714285714285,1.0
en,Kendall rank correlation coefficient,718,1.0,0.5636363636363636,1.0,0.22466039707419017,0.5636363636363636,-1.0,0.9999999999999999,0.3888888888888889,0.7777777777777778,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.33333333333333337,0.4242424242424242
en,Kendall rank correlation coefficient,721,0.9999999999999999,,0.9999999999999999,,,0.9999999999999999,,0.9999999999999999,0.9999999999999998,,1.0,1.0,0.9999999999999999,1.0
en,Kendall rank correlation coefficient,723,0.9999999999999998,0.7999999999999999,0.9999999999999999,,0.7999999999999999,0.6,1.0,0.7333333333333333,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,
en,Kendall rank correlation coefficient,732,1.0,0.7222222222222222,0.8666666666666666,0.20202020202020202,0.7222222222222222,0.8666666666666666,1.0,0.5111111111111111,0.6666666666666665,0.7777777777777777,0.6491228070175439,0.36190476190476195,1.0,0.611111111111111
en,Kendall rank correlation coefficient,735,0.9999999999999998,,,0.38181818181818183,,0.4444444444444444,,,,,,,,
en,Kendall rank correlation coefficient,740,0.9999999999999999,0.14285714285714288,0.0,,0.14285714285714288,0.14285714285714288,1.0,,0.0,-0.3333333333333334,0.9999999999999999,0.9999999999999999,,
en,Kendall rank correlation coefficient,742,1.0,0.33333333333333337,0.33333333333333337,0.17089259946402804,0.33333333333333337,0.33333333333333337,-0.15555555555555553,0.23076923076923078,0.18666666666666662,0.15555555555555553,0.33333333333333337,0.33333333333333337,0.21666666666666667,0.8666666666666666
en,Kendall rank correlation coefficient,746,0.9999999999999998,1.0,-0.6666666666666669,,1.0,0.2222222222222222,0.7333333333333333,0.19999999999999998,0.3186813186813187,0.3333333333333333,-0.33333333333333337,-0.33333333333333337,0.0,0.19999999999999998
en,Kendall rank correlation coefficient,752,1.0,0.8545454545454545,0.9047619047619049,0.43999999999999995,0.8545454545454545,0.8545454545454545,0.5163398692810458,,1.0,1.0,0.8666666666666666,0.9999999999999999,0.8333333333333333,0.611111111111111
